term,note,class_number,language
heating equipment,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
ventilating equipment,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
air-conditioning equipment,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
air purification equipment,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
sanitary installations,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
water supply installations,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
water treatment installations,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
refrigerating equipment,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
freezing equipment,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
apparatus for cooking food,"The apparatus and installations included in Class 11 can be characterized as being for ""environmental control"" in the sense that they change the surrounding environment, for example, by heating, cooling, drying, purifying or disinfecting air or water. Consequently, Class 11 includes heating, ventilating, air-conditioning and air purification equipment, sanitary installations, water supply and water treatment installations, refrigerating and freezing equipment, as well as apparatus for cooking, heating and refrigerating food.",11,en
