term,note,class_number,language
furniture,Furniture is generally in Class 20 irrespective of material composition.,20,en
furniture for laboratories,"Furniture adapted for a special use, however, is classified according to its purpose, such as furniture especially made for laboratories in Cl. 9 and dentists' armchairs in Cl. 10.",9,en
dentists' armchairs,"Furniture adapted for a special use, however, is classified according to its purpose, such as furniture especially made for laboratories in Cl. 9 and dentists' armchairs in Cl. 10.",10,en
mattresses,"Bedding, such as mattresses and pillows, is also in Class 20 but not bed linen, eiderdowns, sleeping bags and blankets, which are in Cl. 24 as textile goods.",20,en
pillows,"Bedding, such as mattresses and pillows, is also in Class 20 but not bed linen, eiderdowns, sleeping bags and blankets, which are in Cl. 24 as textile goods.",20,en
bed linen,"Bedding, such as mattresses and pillows, is also in Class 20 but not bed linen, eiderdowns, sleeping bags and blankets, which are in Cl. 24 as textile goods.",24,en
eiderdowns,"Bedding, such as mattresses and pillows, is also in Class 20 but not bed linen, eiderdowns, sleeping bags and blankets, which are in Cl. 24 as textile goods.",24,en
sleeping bags,"Bedding, such as mattresses and pillows, is also in Class 20 but not bed linen, eiderdowns, sleeping bags and blankets, which are in Cl. 24 as textile goods.",24,en
blankets,"Bedding, such as mattresses and pillows, is also in Class 20 but not bed linen, eiderdowns, sleeping bags and blankets, which are in Cl. 24 as textile goods.",24,en
figurines of common metals,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Cl. 6, Cl. 14, Cl. 16, Cl. 19, Class 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or ceramic.",6,en
statuettes of common metals,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Cl. 6, Cl. 14, Cl. 16, Cl. 19, Class 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or ceramic.",6,en
