term,description,class_number,language
processed grains,"Class 30 comprises products of plant origin that are prepared or preserved for human consumption, such as processed grains, rice, coffee, tea and cocoa.",30,en
rice,"Class 30 comprises products of plant origin that are prepared or preserved for human consumption, such as processed grains, rice, coffee, tea and cocoa.",30,en
coffee,"Class 30 comprises products of plant origin that are prepared or preserved for human consumption, such as processed grains, rice, coffee, tea and cocoa.",30,en
tea,"Class 30 comprises products of plant origin that are prepared or preserved for human consumption, such as processed grains, rice, coffee, tea and cocoa.",30,en
cocoa,"Class 30 comprises products of plant origin that are prepared or preserved for human consumption, such as processed grains, rice, coffee, tea and cocoa.",30,en
processed fruits,"However, Class 30 does not include processed fruits or vegetables, which are in Cl. 29.",29,en
processed vegetables,"However, Class 30 does not include processed fruits or vegetables, which are in Cl. 29.",29,en
sugar,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
honey,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
aromatic substances for food,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
preserved herbs,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
spices,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
salt,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
seasonings,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
condiments,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",30,en
essential oils,"Substances that sweeten or improve the flavour of food and beverages, like sugar, honey, aromatic substances, preserved herbs, spices, salt, seasonings and condiments are also in Class 30, with the exception of essential oils which are in Cl. 3.",3,en
processed seeds as seasonings,"Goods that may be in other classes when used for different purposes are included in Class 30 when they are used as seasonings, such as processed seeds.",30,en
processed seeds for consumption,"Seeds that have been prepared for human consumption but are not intended to be used to flavour or season food are, however, in Cl. 29.",29,en
coffee-based beverages,"Certain foods and beverages are classified according to the predominant ingredient. For example, although most non-alcoholic beverages are in Cl. 32, beverages predominantly made of Class 30 ingredients are classified in Class 30. This is the case for coffee-, tea-, cocoa- or chocolate-based beverages.",30,en
tea-based beverages,"Certain foods and beverages are classified according to the predominant ingredient. For example, although most non-alcoholic beverages are in Cl. 32, beverages predominantly made of Class 30 ingredients are classified in Class 30. This is the case for coffee-, tea-, cocoa- or chocolate-based beverages.",30,en
cocoa-based beverages,"Certain foods and beverages are classified according to the predominant ingredient. For example, although most non-alcoholic beverages are in Cl. 32, beverages predominantly made of Class 30 ingredients are classified in Class 30. This is the case for coffee-, tea-, cocoa- or chocolate-based beverages.",30,en
chocolate-based beverages,"Certain foods and beverages are classified according to the predominant ingredient. For example, although most non-alcoholic beverages are in Cl. 32, beverages predominantly made of Class 30 ingredients are classified in Class 30. This is the case for coffee-, tea-, cocoa- or chocolate-based beverages.",30,en
non-alcoholic beverages,"Certain foods and beverages are classified according to the predominant ingredient. For example, although most non-alcoholic beverages are in Cl. 32, beverages predominantly made of Class 30 ingredients are classified in Class 30. This is the case for coffee-, tea-, cocoa- or chocolate-based beverages.",32,en
