term,description,class_number,language
apparatus for scientific purposes,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
instruments for scientific purposes,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
apparatus for research purposes,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
instruments for research purposes,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
information technology equipment,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
audiovisual equipment,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
apparatus for controlling electricity distribution,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
devices for controlling electricity distribution,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
apparatus for controlling electricity use,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
devices for controlling electricity use,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
optical apparatus,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
optical instruments,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
safety equipment,"Class 9 is often described as the class of electronic equipment but, in fact, it includes a wide variety of goods. There are five general areas of goods: apparatus and instruments for scientific or research purposes, information technology and audiovisual equipment, apparatus and devices for controlling the distribution or use of electricity, optical apparatus and instruments, and safety equipment.",9,en
protective clothing,"It is worth mentioning that safety equipment and protective clothing are classified in Class 9 based on the reference to ""life-saving… apparatus"" in the Class Heading.",9,en
breathing apparatus,"Therefore, protective clothing belongs to Class 9 just as much as goods such as breathing apparatus (not for medical purposes), life belts, life jackets and bullet-proof waistcoats do.",9,en
life belts,"Therefore, protective clothing belongs to Class 9 just as much as goods such as breathing apparatus (not for medical purposes), life belts, life jackets and bullet-proof waistcoats do.",9,en
life jackets,"Therefore, protective clothing belongs to Class 9 just as much as goods such as breathing apparatus (not for medical purposes), life belts, life jackets and bullet-proof waistcoats do.",9,en
bullet-proof waistcoats,"Therefore, protective clothing belongs to Class 9 just as much as goods such as breathing apparatus (not for medical purposes), life belts, life jackets and bullet-proof waistcoats do.",9,en
clothing for protection against accidents,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
shoes for protection against accidents,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
clothing for protection against irradiation,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
shoes for protection against irradiation,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
clothing for protection against fire,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
shoes for protection against fire,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
clothing for laboratories,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
protective helmets,"Examples of protective clothing in Class 9 are clothing and shoes for protection against accidents, irradiation and fire, clothing especially made for laboratories, protective helmets (including for sports), mouth guards and head guards for sports.",9,en
