term,note,class_number,language
rubber,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
gutta-percha,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
gum,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
asbestos,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
mica,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
plastics in extruded form,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
resins in extruded form,"Class 17 is one of the classes that includes unworked or semi-worked materials, namely, rubber, gutta-percha, gum, asbestos and mica, as well as plastics and resins in extruded form for use in manufacture.",17,en
window stops of rubber,"For example, window stops do not correspond to the functions or purposes listed in any of the Class Headings of the Classification and are thus classified in the corresponding ""materials classes"", namely, Class 17 if they are made of rubber, Cl. 6 if they are made of metal, and Cl. 20 if they are made of any other material.",17,en
window stops of metal,"For example, window stops do not correspond to the functions or purposes listed in any of the Class Headings of the Classification and are thus classified in the corresponding ""materials classes"", namely, Class 17 if they are made of rubber, Cl. 6 if they are made of metal, and Cl. 20 if they are made of any other material.",6,en
window stops of other materials,"For example, window stops do not correspond to the functions or purposes listed in any of the Class Headings of the Classification and are thus classified in the corresponding ""materials classes"", namely, Class 17 if they are made of rubber, Cl. 6 if they are made of metal, and Cl. 20 if they are made of any other material.",20,en
insulating paint,"Goods that provide insulation are in Class 17 even if they would be in other classes if not specified as being for insulation purposes. Examples of this are insulating paint, fabric and paper, which are all in Class 17 rather than the typical classes for those goods, namely, Cl. 2, Cl. 24 and Cl. 16, respectively.",17,en
insulating fabric,"Goods that provide insulation are in Class 17 even if they would be in other classes if not specified as being for insulation purposes. Examples of this are insulating paint, fabric and paper, which are all in Class 17 rather than the typical classes for those goods, namely, Cl. 2, Cl. 24 and Cl. 16, respectively.",17,en
insulating paper,"Goods that provide insulation are in Class 17 even if they would be in other classes if not specified as being for insulation purposes. Examples of this are insulating paint, fabric and paper, which are all in Class 17 rather than the typical classes for those goods, namely, Cl. 2, Cl. 24 and Cl. 16, respectively.",17,en
paint,"Goods that provide insulation are in Class 17 even if they would be in other classes if not specified as being for insulation purposes. Examples of this are insulating paint, fabric and paper, which are all in Class 17 rather than the typical classes for those goods, namely, Cl. 2, Cl. 24 and Cl. 16, respectively.",2,en
fabric,"Goods that provide insulation are in Class 17 even if they would be in other classes if not specified as being for insulation purposes. Examples of this are insulating paint, fabric and paper, which are all in Class 17 rather than the typical classes for those goods, namely, Cl. 2, Cl. 24 and Cl. 16, respectively.",24,en
paper,"Goods that provide insulation are in Class 17 even if they would be in other classes if not specified as being for insulation purposes. Examples of this are insulating paint, fabric and paper, which are all in Class 17 rather than the typical classes for those goods, namely, Cl. 2, Cl. 24 and Cl. 16, respectively.",16,en
flexible pipes not of metal,"Finally, flexible pipes, tubes and hoses that are not made of metal, such as connecting hoses for vehicle radiators or watering hoses, are also in Class 17.",17,en
flexible tubes not of metal,"Finally, flexible pipes, tubes and hoses that are not made of metal, such as connecting hoses for vehicle radiators or watering hoses, are also in Class 17.",17,en
flexible hoses not of metal,"Finally, flexible pipes, tubes and hoses that are not made of metal, such as connecting hoses for vehicle radiators or watering hoses, are also in Class 17.",17,en
connecting hoses for vehicle radiators,"Finally, flexible pipes, tubes and hoses that are not made of metal, such as connecting hoses for vehicle radiators or watering hoses, are also in Class 17.",17,en
watering hoses,"Finally, flexible pipes, tubes and hoses that are not made of metal, such as connecting hoses for vehicle radiators or watering hoses, are also in Class 17.",17,en
rigid pipes not of metal for building,"Rigid pipes, not of metal, for building are, however, in Cl. 19.",19,en
