term,description,class_number,language
common metals,"Class 6 is one of the classes that includes unworked or semi-worked materials, namely, common metals and their alloys, and ores.",6,en
metal alloys,"Class 6 is one of the classes that includes unworked or semi-worked materials, namely, common metals and their alloys, and ores.",6,en
ores,"Class 6 is one of the classes that includes unworked or semi-worked materials, namely, common metals and their alloys, and ores.",6,en
figurines of common metals,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",6,en
statuettes of common metals,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",6,en
figurines of precious metals,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",14,en
statuettes of precious metals,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",14,en
figurines of papier mâché,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",16,en
statuettes of papier mâché,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",16,en
figurines of marble,"Typical examples are figurines or statuettes. Because the function or purpose of these goods cannot be identified in any of the Class Headings or Explanatory Notes of the Classification, they are classified according to material composition in the different ""materials classes"", for example, in Class 6, Cl. 14, Cl. 16, Cl. 19, Cl. 20 or Cl. 21 if they are made, respectively, of common metals, precious metals, papier mâché, marble, plaster or porcelain.",19,en
