term,description,class_number,language
paper,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
cardboard,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
printed matter,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
books,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
pamphlets,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
brochures,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
materials for printing,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
materials for bookbinding,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
writing paper,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
envelopes,"Class 16 comprises mainly paper and cardboard, printed matter such as books, pamphlets and brochures, and materials for printing and bookbinding, as well as writing materials and office requisites such as writing paper, envelopes, pens, ink, paper-clips, adhesive tapes, correcting fluids and staplers.",16,en
