term,description,class_number,language
hand-operated tools,"According to its Explanatory Note, Class 8 includes mainly ""hand-operated tools and implements for performing tasks, such as drilling, shaping, cutting and piercing"".",8,en
screwdrivers,"Thus, hand-operated tools such as screwdrivers are in Class 8, while electric screwdrivers, which are also hand-held, are in Cl. 7.",8,en
electric screwdrivers,"Thus, hand-operated tools such as screwdrivers are in Class 8, while electric screwdrivers, which are also hand-held, are in Cl. 7.",7,en
depilation appliances,"It should be noted, however, that certain hand tools are classified in Class 8 regardless of whether they are electric or non-electric. These are small implements such as depilation appliances, razors, hair clippers and manicure sets that cannot be considered to be ""machines"", ""machine tools"" or ""power-operated tools"" in Cl. 7.",8,en
razors,"It should be noted, however, that certain hand tools are classified in Class 8 regardless of whether they are electric or non-electric. These are small implements such as depilation appliances, razors, hair clippers and manicure sets that cannot be considered to be ""machines"", ""machine tools"" or ""power-operated tools"" in Cl. 7.",8,en
hair clippers,"It should be noted, however, that certain hand tools are classified in Class 8 regardless of whether they are electric or non-electric. These are small implements such as depilation appliances, razors, hair clippers and manicure sets that cannot be considered to be ""machines"", ""machine tools"" or ""power-operated tools"" in Cl. 7.",8,en
manicure sets,"It should be noted, however, that certain hand tools are classified in Class 8 regardless of whether they are electric or non-electric. These are small implements such as depilation appliances, razors, hair clippers and manicure sets that cannot be considered to be ""machines"", ""machine tools"" or ""power-operated tools"" in Cl. 7.",8,en
handles for hand-operated tools,"Handles for hand-operated tools are also classified in Class 8 as they are seen as being an intrinsic part of the tool.",8,en
scythe handles,"Thus, scythe handles and knife handles are in Class 8 but it is worth bearing in mind that other types of handles would be classified in other classes according to the object they are part of, for example, broom handles belong to Cl. 21 along with brooms, and umbrella handles are in Cl. 18.",8,en
knife handles,"Thus, scythe handles and knife handles are in Class 8 but it is worth bearing in mind that other types of handles would be classified in other classes according to the object they are part of, for example, broom handles belong to Cl. 21 along with brooms, and umbrella handles are in Cl. 18.",8,en
broom handles,"Thus, scythe handles and knife handles are in Class 8 but it is worth bearing in mind that other types of handles would be classified in other classes according to the object they are part of, for example, broom handles belong to Cl. 21 along with brooms, and umbrella handles are in Cl. 18.",21,en
umbrella handles,"Thus, scythe handles and knife handles are in Class 8 but it is worth bearing in mind that other types of handles would be classified in other classes according to the object they are part of, for example, broom handles belong to Cl. 21 along with brooms, and umbrella handles are in Cl. 18.",18,en
